,P,Exp P,Log P,Log Exp P
7742,5.971937946457756e-12,0.0001,11.224,4.0
7741,1.890607213757106e-11,0.0002,10.723,3.699
7739,3.731414363181225e-11,0.0003,10.428,3.523
7744,4.223649313894104e-11,0.0004,10.374,3.398
7740,4.9993437677382385e-11,0.0005,10.301,3.301
7745,5.050173014555338e-11,0.0006,10.297,3.222
7743,5.1113163924919946e-11,0.0007,10.291,3.155
7738,7.684671896347647e-11,0.0008,10.114,3.097
4521,9.060241361681192e-11,0.0009,10.043,3.046
7746,1.0154535734635919e-10,0.001,9.993,3.0
7737,1.2902456296433036e-10,0.0011,9.889,2.959
7747,1.3104834733892688e-10,0.0012,9.883,2.921
7736,1.4842818953708272e-10,0.0013,9.828,2.886
7735,2.2866591818286943e-10,0.0014,9.641,2.854
7750,2.950038020729054e-10,0.0015,9.53,2.824
7748,3.4875045661207164e-10,0.0016,9.457,2.796
7732,3.6092011511151866e-10,0.0017,9.443,2.77
4522,3.687585557289944e-10,0.0018,9.433,2.745
7734,3.6937763262523977e-10,0.0019,9.433,2.721
7749,3.7471550690499427e-10,0.002,9.426,2.699
4520,3.75844995460052e-10,0.0021,9.425,2.678
7729,5.062740726756005e-10,0.0022,9.296,2.658
7752,5.166829479244373e-10,0.0023,9.287,2.638
7733,5.811022275449139e-10,0.0024,9.236,2.62
7751,6.058373644051329e-10,0.0025,9.218,2.602
7731,6.890595121559545e-10,0.0026,9.162,2.585
7753,7.710441958423052e-10,0.0027,9.113,2.569
7728,9.130957027448527e-10,0.0028,9.039,2.553
4519,1.0008760049852283e-09,0.0029,9.0,2.538
4523,1.0224604003626107e-09,0.003,8.99,2.523
7754,1.041364130039017e-09,0.0031,8.982,2.509
4517,1.0531872051168362e-09,0.0032,8.977,2.495
4518,1.110196345118232e-09,0.0033,8.955,2.481
4524,1.2164187322068016e-09,0.0034,8.915,2.469
7730,1.4322603112345475e-09,0.0035,8.844,2.456
7727,1.479428622013968e-09,0.0036,8.83,2.444
4515,1.6843110361367254e-09,0.0037,8.774,2.432
4516,1.9495929625451686e-09,0.0038,8.71,2.42
1210,2.241292871683666e-09,0.0039,8.65,2.409
7755,2.4358338333440643e-09,0.004,8.613,2.398
7757,3.4019456561932022e-09,0.0041,8.468,2.387
1206,3.604519895330517e-09,0.0042,8.443,2.377
7726,3.956553225976646e-09,0.0043,8.403,2.367
1207,4.242147341663517e-09,0.0044,8.372,2.357
4525,4.335056095030017e-09,0.0045,8.363,2.347
7756,4.361303320997281e-09,0.0046,8.36,2.337
1211,4.560320074943514e-09,0.0047,8.341,2.328
1209,4.606448951113235e-09,0.0048,8.337,2.319
1205,5.271047150628378e-09,0.0049,8.278,2.31
7759,6.05116407923032e-09,0.005,8.218,2.301
4526,6.385426346585443e-09,0.0051,8.195,2.292
1208,7.200045862575053e-09,0.0052,8.143,2.284
7758,8.137548641897805e-09,0.0053,8.09,2.276
4514,1.0189787975732341e-08,0.0054,7.992,2.268
1204,1.189386887019694e-08,0.0055,7.925,2.26
7760,1.30433756322893e-08,0.0056,7.885,2.252
1212,1.3361834867844476e-08,0.0057,7.874,2.244
1213,1.5994810314372554e-08,0.0058,7.796,2.237
1201,1.652910895344165e-08,0.0059,7.782,2.229
1214,1.7096624201282772e-08,0.006,7.767,2.222
1203,1.7685181981440457e-08,0.0061,7.752,2.215
7725,1.9282069250407218e-08,0.0062,7.715,2.208
7761,1.9597150084910925e-08,0.0063,7.708,2.201
1202,2.204915180456521e-08,0.0064,7.657,2.194
7724,2.268243817299309e-08,0.0065,7.644,2.187
1215,2.364461086417973e-08,0.0066,7.626,2.18
1198,3.032928377815868e-08,0.0067,7.518,2.174
1199,3.18151439187538e-08,0.0068,7.497,2.167
1200,3.196262032163033e-08,0.0069,7.495,2.161
7723,3.7062437004024507e-08,0.007,7.431,2.155
4513,3.802398459352219e-08,0.0071,7.42,2.149
4511,4.588308746923989e-08,0.0072,7.338,2.143
1197,4.712817060963243e-08,0.0073,7.327,2.137
4512,4.778496492218328e-08,0.0074,7.321,2.131
4510,4.833777584737292e-08,0.0075,7.316,2.125
1216,5.626113987046036e-08,0.0076,7.25,2.119
1196,5.8181819341867497e-08,0.0077,7.235,2.114
4527,5.888593519240824e-08,0.0078,7.23,2.108
7762,6.193037234810926e-08,0.0079,7.208,2.102
1219,6.62009868816992e-08,0.008,7.179,2.097
7764,6.93006946800979e-08,0.0081,7.159,2.092
1217,7.04379794047708e-08,0.0082,7.152,2.086
7763,7.449276573158417e-08,0.0083,7.128,2.081
1218,7.706011928337107e-08,0.0084,7.113,2.076
1195,7.814052908503329e-08,0.0085,7.107,2.071
1194,7.875728666235364e-08,0.0086,7.104,2.066
1220,8.079076032397872e-08,0.0087,7.093,2.06
7765,8.384968690620009e-08,0.0088,7.076,2.056
1222,8.405998230792698e-08,0.0089,7.075,2.051
4528,8.621365113080683e-08,0.009,7.064,2.046
4509,9.40048060083106e-08,0.0091,7.027,2.041
1221,9.54402435564982e-08,0.0092,7.02,2.036
7722,9.595257908603887e-08,0.0093,7.018,2.032
1224,1.0068433436414317e-07,0.0094,6.997,2.027
4508,1.1197713049908233e-07,0.0095,6.951,2.022
1223,1.1511858030473467e-07,0.0096,6.939,2.018
1193,1.1551550272252797e-07,0.0097,6.937,2.013
4506,1.329990664993854e-07,0.0098,6.876,2.009
1187,1.337280160531137e-07,0.0099,6.874,2.004
4507,1.3452313345974714e-07,0.01,6.871,2.0
1192,1.3827859000241212e-07,0.0101,6.859,1.996
7721,1.675899423855416e-07,0.0102,6.776,1.991
4529,1.7449767075484005e-07,0.0103,6.758,1.987
1225,1.8482056671157734e-07,0.0104,6.733,1.983
7769,2.2187221659553082e-07,0.0105,6.654,1.979
7767,2.2229154323395323e-07,0.0106,6.653,1.975
1191,2.2603177778023345e-07,0.0107,6.646,1.971
7766,2.3532554947783882e-07,0.0108,6.628,1.967
4505,2.469746869791905e-07,0.0109,6.607,1.963
1189,2.485596300055126e-07,0.011,6.605,1.959
1190,2.5080510130451525e-07,0.0111,6.601,1.955
1188,2.631257288674336e-07,0.0112,6.58,1.951
4531,3.037218366545342e-07,0.0113,6.518,1.947
4530,3.4926928578697133e-07,0.0114,6.457,1.943
7770,4.205206467791271e-07,0.0115,6.376,1.939
7720,4.4057549836299133e-07,0.0116,6.356,1.936
7768,4.630990452796451e-07,0.0117,6.334,1.932
4533,4.852973639214337e-07,0.0118,6.314,1.928
1226,4.862423269192861e-07,0.0119,6.313,1.924
4504,4.958848715072699e-07,0.012,6.305,1.921
1186,5.181575910208061e-07,0.0121,6.286,1.917
4532,5.254609523745551e-07,0.0122,6.279,1.914
1227,5.702481364392603e-07,0.0123,6.244,1.91
7771,5.867905397359728e-07,0.0124,6.232,1.907
1185,6.448891859518448e-07,0.0125,6.191,1.903
4503,6.550914792241226e-07,0.0126,6.184,1.9
7772,6.554221397481804e-07,0.0127,6.183,1.896
7773,6.920426127639337e-07,0.0128,6.16,1.893
4502,7.635726700047626e-07,0.0129,6.117,1.889
1181,8.319437670079357e-07,0.013,6.08,1.886
7715,9.123128308749516e-07,0.0131,6.04,1.883
7719,9.4647100957483e-07,0.0132,6.024,1.879
7718,1.0673174245050085e-06,0.0133,5.972,1.876
1228,1.1188489049236332e-06,0.0134,5.951,1.873
1183,1.1444068756057845e-06,0.0135,5.941,1.87
1184,1.1444678169456163e-06,0.0136,5.941,1.866
1182,1.1696064159478177e-06,0.0137,5.932,1.863
1179,1.2028776482046836e-06,0.0138,5.92,1.86
4534,1.213326233936909e-06,0.0139,5.916,1.857
1180,1.563178293701295e-06,0.014,5.806,1.854
7716,1.5740990923539403e-06,0.0141,5.803,1.851
7717,1.614682325614537e-06,0.0142,5.792,1.848
4500,1.7792362207224113e-06,0.0143,5.75,1.845
4536,1.8172624646918867e-06,0.0144,5.741,1.842
4535,1.8723758428006023e-06,0.0145,5.728,1.839
7711,1.979817816077343e-06,0.0146,5.703,1.836
4501,2.028146763391624e-06,0.0147,5.693,1.833
7713,2.0307649966436207e-06,0.0148,5.692,1.83
1177,2.0682067190754527e-06,0.0149,5.684,1.827
4537,2.078613974978194e-06,0.015,5.682,1.824
4538,2.147204198248932e-06,0.0151,5.668,1.821
